,Num. of cells,Cutoff,% explored cells,Time [s],Eigenvalue 0,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5
0,2500.0,0.0,4.68,0.13787341117858887,2.0816681711721685e-14,-0.10669466576875554,-3.0400127587454655,-5.386668550853799,-8.167913756301454,-8.93965013417877
1,2500.0,0.30612244897959184,9.68,0.21564102172851562,2.2826177437289972e-14,-0.0016162502865349547,-0.012804209053410698,-0.19400714633821586,-3.0221110767844968,-3.9001552161126884
2,2500.0,0.6122448979591837,12.2,0.4598374366760254,-8.181175846029561e-15,-0.0019296281552887609,-0.11448653625733643,-0.19830824741725492,-0.49310839044746135,-0.6472073151923636
3,2500.0,0.9183673469387755,14.360000000000001,0.7075619697570801,4.732975456900261e-14,-6.88068037078587e-05,-0.0004857587342115686,-0.3441852821894336,-0.4315709919298327,-1.9549692495217976
4,2500.0,1.2244897959183674,21.64,1.5314154624938965,3.0046224290562494e-14,-9.929338537083304e-05,-0.0004182239051972345,-0.027007106752214495,-0.03204268249803012,-0.19577829212423073
5,2500.0,1.5306122448979593,16.24,0.7650210857391357,8.802504730693273e-14,-0.00023283276998655193,-0.00046577100827400027,-0.04923834719852041,-0.16806266476032758,-0.17106963093651523
6,2500.0,1.836734693877551,33.64,3.703920364379883,1.0805562755617969e-13,-0.0001336364205940845,-0.00024723377131306216,-0.0006305928028045231,-0.0053418421288489075,-0.06258576483658652
7,2500.0,2.142857142857143,35.480000000000004,5.382640361785889,1.9313225335399614e-14,-5.8802378379267186e-05,-0.002799928778122077,-0.0047449555045591,-0.012666782622732506,-0.04667099525385447
8,2500.0,2.4489795918367347,35.52,6.510070323944092,-8.111641030854577e-13,-9.333046416307354e-05,-0.00047654982052581856,-0.00740090442129732,-0.014079477691949283,-0.07446816314077505
9,2500.0,2.7551020408163267,36.720000000000006,5.179802417755127,3.4094525865355456e-14,-6.849956996820787e-05,-0.0016400456625559386,-0.017530987667102062,-0.05366944008558806,-0.1644669367812238
10,2500.0,3.0612244897959187,38.12,4.360892057418823,3.38002195676701e-14,-0.0009282695863998124,-0.0024248950029873745,-0.004637995250376454,-0.03303793864797939,-0.06098352934708945
11,2500.0,3.36734693877551,39.32,7.5365800857543945,-4.6205877665683737e-14,-0.0005600051810300603,-0.0008984191895920064,-0.0021464018023872613,-0.008538543222433574,-0.02582162175108601
12,2500.0,3.673469387755102,27.92,2.4791839122772217,4.8281115591349425e-14,-0.00038034330035333514,-0.011866038898281726,-0.025723165823508653,-0.05515354603722317,-0.26291269005421153
13,2500.0,3.979591836734694,43.16,9.516854047775269,5.759428443061557e-13,-0.00011815874339316616,-0.00032807024417011167,-0.002814337246062384,-0.00455178593671304,-0.005317085756629324
14,2500.0,4.285714285714286,42.6,5.812988042831421,-2.4975209573168647e-13,-0.0001115703743691789,-0.0015361671069482393,-0.0035760753409582262,-0.004485738883549731,-0.009586383409401367
15,2500.0,4.591836734693878,44.76,8.597716093063354,-1.4151017597302529e-13,-0.0006582487028460065,-0.00285556438706616,-0.01119219506963018,-0.01955208091784747,-0.01961575915078279
16,2500.0,4.8979591836734695,44.72,6.711682319641113,-2.3421283408845117e-12,-0.00013917508709323853,-0.00033694243391677183,-0.0027758787599178763,-0.01650870837060344,-0.039704848582995174
17,2500.0,5.204081632653061,47.24,10.556527137756348,-8.00585015112495e-13,-0.00010725042545337495,-0.00023559194724416744,-0.018889563593522073,-0.02149975400408568,-0.059038160362061096
18,2500.0,5.510204081632653,47.52,7.29378342628479,-3.5134113500479014e-13,-0.0010648017148822439,-0.005571580334225398,-0.0065235852921008705,-0.010385368813322412,-0.023822708434126767
19,2500.0,5.816326530612245,49.0,10.835572242736816,-4.215498272744914e-13,-0.0001440250329736952,-0.001405449787383223,-0.009394732964404275,-0.01483854430552211,-0.015089300713578283
20,2500.0,6.122448979591837,50.28,7.81570839881897,3.1432755316386444e-14,-0.00012750126237341236,-0.00024575107406026557,-0.002157797814853705,-0.008655669683957257,-0.027152336113587805
