,Num. of cells,Cutoff,% explored cells,Time [s],Eigenvalue 0,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5
0,5625.0,4.0,31.57333333333333,24.897329092025757,-4.6863825754056565e-15,-0.00016900583404634673,-0.0003926065735925328,-0.000973533609103499,-0.001983229648546693,-0.0030690125281343174
1,5625.0,4.22,32.32,19.956259965896606,2.7157746537720406e-14,-0.0001705506934191409,-0.00040061652970283743,-0.0009745525892277639,-0.0020007078657667456,-0.0031058274358731386
2,5625.0,4.44,32.83555555555556,19.007847785949707,1.7268819837643057e-14,-0.00017147490088607287,-0.0004030689871856485,-0.0009774223797555774,-0.002024106767648944,-0.003133387611624588
3,5625.0,4.66,33.22666666666667,15.373891592025757,-6.949763030686396e-14,-0.00017259617456734128,-0.00040379008853401807,-0.0009816976429004218,-0.0020247991463270606,-0.003134545470356234
4,5625.0,4.88,33.88444444444445,16.45065689086914,-2.1668051467665927e-14,-0.0001735386973120028,-0.0004062940498021879,-0.0009909125837062548,-0.0020291196715237995,-0.00316666222103388
5,5625.0,5.1,35.23555555555555,20.798378944396973,-2.2506383692486032e-14,-0.00017534817983489505,-0.00040845712601029354,-0.0010067275909433858,-0.0020858347771081703,-0.003189485380684938
6,5625.0,5.32,35.839999999999996,19.97167706489563,1.8796325173403572e-14,-0.00017606186974670844,-0.0004097846439876543,-0.0010103444201724249,-0.0020870334198426405,-0.0032039081951224456
7,5625.0,5.54,36.49777777777778,22.593153953552246,2.154393742397065e-14,-0.0001771373886956173,-0.0004109046230993204,-0.001017172244524199,-0.002096827514938474,-0.003208994302749082
8,5625.0,5.76,37.06666666666666,22.491963386535645,1.4438095359038672e-13,-0.00017774613908371043,-0.0004149935886785435,-0.0010186334675924271,-0.002105397195696412,-0.003223930429659954
9,5625.0,5.98,37.67111111111111,22.39725375175476,-1.1813895131260188e-13,-0.00017833186376867204,-0.0004165973154085356,-0.0010197910131868845,-0.002108458092370409,-0.003230560972150054
10,5625.0,6.2,38.080000000000005,22.843714237213135,-1.0162470908195442e-14,-0.00018009305922958902,-0.0004185444082499954,-0.0010251164577084792,-0.002110798303405047,-0.0032492404503630568
11,5625.0,6.42,38.879999999999995,28.49350118637085,-2.792606640725226e-15,-0.00018142402928462146,-0.00042355587944921765,-0.0010316001878435377,-0.0021172213372784715,-0.0032966496753503356
12,5625.0,6.640000000000001,40.01777777777778,27.78437304496765,-5.746203751537393e-14,-0.00018328880777164882,-0.00042931426132635804,-0.0010462537550174386,-0.002124578078743537,-0.003350214695702766
13,5625.0,6.859999999999999,40.81777777777778,22.798002243041992,-1.288047359743194e-13,-0.00018419596763069574,-0.00043004268205273065,-0.0010503536368985504,-0.002130409174208632,-0.0033594218454859213
14,5625.0,7.08,42.29333333333333,25.172557830810547,6.317646059073034e-16,-0.00018465031396223519,-0.00043075043211245013,-0.001052405403717426,-0.0021330307112538693,-0.003364850223959046
15,5625.0,7.3,43.60888888888889,26.308259963989258,-7.040825171153453e-14,-0.00018520922867020677,-0.00043239110452881227,-0.0010547617067769677,-0.0021441065105943665,-0.0033731760480386983
16,5625.0,7.52,44.337777777777774,28.255536794662476,-2.6391730597805085e-14,-0.000185507882364257,-0.00043271195380336356,-0.0010571256278850644,-0.0021515801860835793,-0.0033759242405361563
17,5625.0,7.74,45.13777777777778,31.53378438949585,1.046787168664659e-13,-0.00018556114506660244,-0.00043283708158477636,-0.0010579177878394385,-0.0021528218672691203,-0.00337675011688036
18,5625.0,7.96,45.937777777777775,27.67051100730896,-1.0353859696693446e-15,-0.00018619370771658125,-0.00043500524784887887,-0.0010601490325921222,-0.0021560103194371225,-0.0033840595924842357
