,Num. of cells,Cutoff,% explored cells,Time [s],Eigenvalue 0,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5
0,900.0,0.5,9.11111111111111,0.03674912452697754,-2.220446049250313e-16,-0.4115340685858825,-5.129547645404152,-7.825542443891984,-16.212650225726918,-19.051498284755414
1,900.0,0.5505050505050505,10.666666666666668,0.04552268981933594,-1.532107773982716e-14,-0.674044092882328,-4.36615075850601,-9.444873101127055,-14.127137174598042,-21.24112163716712
2,900.0,0.601010101010101,11.11111111111111,0.04816770553588867,1.84297022087776e-14,-0.6593798032216045,-4.448969665907396,-9.195453146186116,-13.97976735356575,-23.13236022009985
3,900.0,0.6515151515151515,11.777777777777777,0.05413246154785156,2.142730437526552e-14,-0.6421163177443198,-4.507982081848895,-8.918772634057815,-14.13698867985963,-19.583059606596546
4,900.0,0.702020202020202,12.666666666666668,0.06072664260864258,1.7541523789077473e-14,-0.6470371022653976,-4.626694229773424,-8.558899912661591,-14.97055590389989,-17.836904591477133
5,900.0,0.7525252525252526,13.333333333333334,0.06520366668701172,-7.549516567451064e-15,-0.6740036256134387,-4.406447055318644,-8.0176743001474,-15.547757092617799,-18.216461400904166
6,900.0,0.803030303030303,14.444444444444443,0.07254624366760254,7.549516567451064e-15,-0.7377313220110282,-4.085235460099704,-8.11357112847874,-13.73401040455644,-16.633405143181076
7,900.0,0.8535353535353536,15.11111111111111,0.08009147644042969,-6.439293542825908e-15,-0.7877233148408571,-4.012948215438469,-8.506813392317781,-13.646812414373732,-17.119036120749488
8,900.0,0.904040404040404,15.555555555555555,0.08393716812133789,-7.66053886991358e-15,-0.7546724440991686,-3.8368534428150705,-8.00786144680745,-12.815847449318671,-17.125445265282867
9,900.0,0.9545454545454546,15.777777777777777,0.08611893653869629,-3.219646771412954e-14,-0.7632824398409656,-3.8860329454093026,-7.812040217967403,-12.955011195832501,-17.35767164517538
10,900.0,1.0050505050505052,16.88888888888889,0.09449458122253418,-2.7755575615628914e-15,-0.7329806350294957,-3.858071684395311,-7.745430840280585,-12.666183207578843,-14.342968322591599
11,900.0,1.0555555555555556,18.22222222222222,0.10901117324829102,2.631228568361621e-14,-0.7065794146452982,-3.8382763994878655,-7.93801948787209,-12.290157471562269,-12.568862233874098
12,900.0,1.106060606060606,18.88888888888889,0.11453509330749512,-2.0376061948823576e-14,-0.7377740352941299,-3.7551640324038305,-8.12663628822217,-12.288146710006846,-12.546614973493218
13,900.0,1.1565656565656566,19.77777777777778,0.127730131149292,2.3203661214665772e-14,-0.7065198248972098,-3.724792816303141,-8.053109017345744,-11.51256046407429,-11.733238159989414
14,900.0,1.2070707070707072,20.22222222222222,0.12836933135986328,3.730349362740526e-14,-0.712023705028765,-3.8375376289906695,-7.848341845166791,-11.2662851250535,-11.530247559200228
15,900.0,1.2575757575757576,20.22222222222222,0.12880730628967285,-4.551914400963142e-15,-0.7120237050288025,-3.837537628990717,-7.848341845166831,-11.266285125053553,-11.5302475592003
