,Num. of cells,Cutoff,% explored cells,Time [s],Eigenvalue 0,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5,Eigenvalue 6,Eigenvalue 7,Eigenvalue 8
0,900.0,0.5,9.11111111111111,0.05010724067687988,,9.43689570931383e-15,-0.4115340685858641,-5.1295476454041,-7.82554244389197,-16.212650225726932,-19.051498284755425,-25.584360825673016,-25.587718024519393
1,900.0,0.55,10.666666666666668,0.04648780822753906,,3.630429290524262e-14,-0.6740440928822831,-4.366150758505981,-9.44487310112714,-14.12713717459806,-21.24112163716704,-24.24602162158839,-25.225933489559765
2,900.0,0.6,11.11111111111111,0.049428462982177734,,1.4432899320127035e-15,-0.6593798032215874,-4.448969665907395,-9.195453146186084,-13.979767353565727,-23.13236022009987,-24.096811659711324,-24.105142476327448
3,900.0,0.65,11.777777777777777,0.05435633659362793,,-3.7969627442180354e-14,-0.6421163177443782,-4.50798208184896,-8.918772634057884,-14.136988679859554,-19.583059606596464,-19.958769309189435,-23.083952249664936
4,900.0,0.7,12.666666666666668,0.06086397171020508,,-5.329070518200751e-15,-0.6470371022654161,-4.626694229773331,-8.55889991266156,-14.970555903899843,-17.83690459147732,-18.309983194813647,-23.037796206244195
5,900.0,0.75,13.333333333333334,0.06684684753417969,,-2.653433028854124e-14,-0.6740036256134737,-4.406447055318596,-8.017674300147489,-15.547757092617752,-18.216461400904084,-18.59750782900984,-21.437302611843105
6,900.0,0.8,14.444444444444443,0.07527780532836914,,-1.532107773982716e-14,-0.7377313220110364,-4.085235460099663,-8.11357112847874,-13.734010404556422,-16.633405143181104,-18.435601984708175,-21.86349903836397
7,900.0,0.8500000000000001,15.11111111111111,0.08336210250854492,,1.5765166949677223e-14,-0.78772331484086,-4.012948215438477,-8.506813392317754,-13.646812414373723,-17.11903612074934,-17.80559493800095,-22.392298481680335
8,900.0,0.9,15.555555555555555,0.0991816520690918,,-2.1316282072803006e-14,-0.7546724440991854,-3.836853442815084,-8.007861446807517,-12.815847449318627,-17.12544526528279,-18.059706058256097,-21.335196928439853
9,900.0,0.95,15.777777777777777,0.08947205543518066,,-7.993605777301127e-15,-0.7632824398408979,-3.886032945409275,-7.812040217967388,-12.95501119583252,-17.3576716451754,-17.878769594691857,-20.89302993029701
10,900.0,1.0,16.88888888888889,0.09754252433776855,,-2.9976021664879227e-14,-0.7329806350295283,-3.8580716843952976,-7.745430840280628,-12.66618320757883,-14.342968322591613,-14.847246053541404,-18.12540078457595
11,900.0,1.05,18.22222222222222,0.1139376163482666,,-1.4988010832439613e-14,-0.7065794146453334,-3.8382763994878952,-7.938019487872135,-12.290157471562342,-12.568862233874151,-13.52542712961844,-17.635654012365833
12,900.0,1.1,18.88888888888889,0.12097430229187012,,6.894138038227027e-14,-0.7377740352941008,-3.75516403240378,-8.126636288222223,-12.288146710006947,-12.546614973493318,-12.752373617114799,-18.2005631415981
13,900.0,1.15,19.333333333333332,0.12549972534179688,,-1.3766765505351941e-14,-0.7268143468663493,-3.7977569143760745,-8.157584079353441,-11.813769972101476,-12.072966023897802,-12.800884389782,-18.697075317014406
