,Num. of cells,Cutoff,% explored cells,Time [s],Eigenvalue 0,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5
0,1600.0,4.0,24.25,0.4954657554626465,2.0395401812768722e-14,-0.0008094892861600194,-0.13100446587711898,-0.7796243915676649,-1.1164873433402578,-1.6887983907579818
1,1600.0,4.22,24.625,0.5118796825408936,-5.559087051726903e-14,-0.0008094796392783066,-0.13064556944579223,-0.779623889805323,-1.1148384772710926,-1.6907801189256235
2,1600.0,4.44,25.0625,0.5280568599700928,9.406493727260059e-15,-0.0008102070850548823,-0.1297077224280835,-0.7796362488887864,-1.1019916783462957,-1.6860117602767568
3,1600.0,4.66,25.5,0.5487167835235596,-1.0302287714220864e-14,-0.0008148879688816085,-0.1292859196186121,-0.7791975014355568,-1.101990855134308,-1.6841495288882922
4,1600.0,4.88,26.0625,0.5922703742980957,8.476943105795165e-15,-0.0008335005869037994,-0.12924716608081027,-0.779219237184992,-1.1035936973068892,-1.6884154143873884
5,1600.0,5.1,26.75,0.6029183864593506,-9.496815499974406e-15,-0.0008334861664163138,-0.13005460574723232,-0.778874652292884,-1.1177519370683044,-1.703501247785662
6,1600.0,5.32,27.125,0.6135635375976562,5.0063226009039705e-14,-0.0008334798528846428,-0.12955372330817688,-0.7785213634982683,-1.117754190600818,-1.708441466630812
7,1600.0,5.54,28.249999999999996,0.6715142726898193,-2.8021964089408602e-14,-0.0008335093453391104,-0.12986015282100785,-0.7785200113748428,-1.0953990247317416,-1.6922487926725451
8,1600.0,5.76,29.062500000000004,0.7146704196929932,-1.123603148027061e-14,-0.0008560741594381224,-0.13318367752442223,-0.7783661694675502,-1.0875349970136456,-1.7007260342952857
9,1600.0,5.98,29.562500000000004,0.72994065284729,-2.7600742695131727e-14,-0.0008560609275859516,-0.1332783909260178,-0.7782471074124802,-1.0827630968726638,-1.6936586223303622
10,1600.0,6.2,30.0,0.7540345191955566,2.6986092506379114e-14,-0.0008560489408692457,-0.13304895208935547,-0.778245955361889,-1.067821759081027,-1.6918907675356916
11,1600.0,6.42,30.1875,0.764495849609375,-5.3156666099097923e-14,-0.0008975719326206449,-0.13304895469062344,-0.7784518571702712,-1.0599034542613748,-1.6918703653449094
12,1600.0,6.640000000000001,30.9375,0.8032419681549072,3.017989494146998e-14,-0.0009010765980217066,-0.13286054977195627,-0.7781397385616798,-1.0446910510219354,-1.690608618909007
13,1600.0,6.859999999999999,31.4375,0.8252241611480713,3.706041670484328e-14,-0.0009014020053063984,-0.13264622064904066,-0.7781048969920911,-1.044701584373658,-1.6892624856249137
14,1600.0,7.08,32.125,0.8694827556610107,6.386007420092627e-14,-0.0009013900300157587,-0.13212009285893636,-0.7780223809792371,-1.0488517348278195,-1.682687970341635
15,1600.0,7.3,33.0,0.9649927616119385,2.567695697093648e-14,-0.0009015277392567632,-0.13196961769075555,-0.7778622966892825,-1.0489064950392413,-1.681327376855898
16,1600.0,7.52,33.875,0.9950127601623535,6.244861958417894e-16,-0.0009015130479189433,-0.13189147483301464,-0.7777405649681548,-1.052181929877875,-1.6826294618188729
17,1600.0,7.74,34.625,0.9923474788665771,-3.6466857390345566e-16,-0.000901514382478985,-0.1322435797318684,-0.7776929440386257,-1.0456912448573592,-1.690208451691751
